,Relation,Train,Test
0,CO/ELABORATION,0,1
1,SUB/ELABORATION,22606,74
2,CO/CONDITION,0,0
3,SUB/CONDITION,350,20
4,CO/LIST,7949,68
5,SUB/LIST,0,0
6,CO/TEMPORAL,0,0
7,CO/DISJUNCTION,1120,9
8,SUB/TEMPORAL,193,11
9,CO/PURPOSE,0,0
10,SUB/PURPOSE,878,15
11,CO/RESULT,0,0
12,SUB/RESULT,0,3
13,CO/CLAUSE,0,0
14,SUB/CLAUSE,0,0
15,CO/CONTRAST,1492,17
16,SUB/CONTRAST,0,1
17,SUB/DISJUNCTION,0,0
18,CO/LSIT,0,1
19,SUB/ATTRIBUTION,3602,8
20,CO/ATTRIBUTION,0,0
21,SUB/SPATIAL,1094,3
22,SUB/BACKGROUND,0,1
23,SUB/CAUSE,255,1
